Momentum Rank,Value Rank,Profitability Rank,Ticker_s,Ticker,Name,MKT CAP (US$M),Sector,1Y Return,P/S,P/E,P/FCF,P/B,ROA,ROE,Gross margin,GPOA
131,417,5,C600519,C600519,"KWEICHOW MOUTAI CO.,LTD.","282,940",Consumer Non-Durables,-12%,21.9,34.6,70.8,10.9,25%,31%,91%,34%
188,43,418,C601398,C601398,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,"202,497",Finance,-7%,1.1,4.4,2.5,0.5,1%,11%,,
191,62,402,C601939,C601939,CHINA CONSTRUCTION BANK CORPORATION,"145,631",Finance,-8%,1.1,,4.7,0.6,1%,12%,,
386,395,259,C300750,C300750,CONTEMPORARY AMPER,"138,696",Producer Manufacturing,-30%,7.4,38.6,,11.4,7%,23%,22%,6%
161,30,416,C601288,C601288,AGRICULTURAL BANK OF CHINA LIMITED,"135,506",Finance,-3%,0.9,4.1,2.6,0.5,1%,12%,,
132,80,246,C600941,C600941,CHINA MOBILE LTD,"129,542",Communications,8%,1.6,11.2,,1.2,,,,12%
244,59,370,C601857,C601857,PETROCHINA COMPANY LIMITED,"125,104",Energy Minerals,-12%,0.4,,17.6,0.7,4%,7%,,11%
139,34,427,C601988,C601988,BANK OF CHINA LIMITED,"117,476",Finance,0%,0.9,4,3.6,0.5,1%,11%,,
425,113,241,C600036,C600036,"CHINA MERCHANTS BANK CO.,LIMITED","101,803",Finance,-44%,1.7,,9.3,1,1%,16%,46%,
185,366,431,C002594,C002594,BYD COMPANY LTD,"94,036",Consumer Durables,-8%,3.6,139.6,27.7,8.1,,,11%,7%
269,42,405,C601318,C601318,"PING AN INSURANCE（GROUP） COMPANY OF CHINA, LTD.","93,759",Finance,-23%,0.6,7,2.5,0.9,1%,13%,,
169,137,466,C601628,C601628,CHINA LIFE INSURANCE COMPANY LIMITED,"93,620",Finance,-6%,1,23.8,1.8,1.8,1%,7%,,
342,350,23,C000858,C000858,WULIANGYE YIBIN CO,"81,969",Consumer Non-Durables,-31%,10.6,23.7,56.6,6,20%,26%,72%,31%
41,132,163,C601088,C601088,CHINA SHENHUA ENERGY COMPANY LIMITED,"80,444",Energy Minerals,40%,1.9,9.1,11.6,1.6,11%,18%,32%,14%
98,261,167,C600900,C600900,"CHINA YANGTZE POWER CO.,LTD.","70,735",Utilities,7%,9.3,17.5,28.2,2.8,9%,17%,64%,10%
180,28,252,C600028,C600028,CHINA PETROLEUM & CHEMICAL CORPORATION,"68,516",Energy Minerals,-3%,0.2,,6.9,0.7,,,,12%
397,219,449,C300999,C300999,YIHAI KERRY ARAW.H,"60,610",Consumer Non-Durables,-32%,1,73.8,,2.7,1%,4%,6%,8%
75,98,107,C600938,C600938,CNOOC LIMITED,"57,975",Energy Minerals,23%,3,6.8,,1.5,13%,22%,58%,14%
304,446,9,C300760,C300760,SHENZHEN MINDRAY B,"55,617",Health Technology,-8%,16.1,44.8,98.5,14.9,25%,35%,62%,40%
257,39,426,C601658,C601658,"POSTAL SAVINGS BANK OF CHINA, LTD.","51,179",Finance,-23%,0.7,4.9,4.4,0.6,1%,12%,,
291,353,214,C601012,C601012,LONGI GREEN ENERGY TECHNOLOGY,"49,931",Electronic Technology,-24%,4.4,33.7,68.2,7.5,9%,22%,17%,12%
340,401,68,C601888,C601888,CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED,"47,295",Retail Trade,-32%,5.3,42.5,101.5,11.8,16%,29%,27%,36%
218,87,275,C601728,C601728,CHINA TELECOM CORPORATION LIMITED,"46,741",Communications,-7%,0.8,13.2,8.7,0.8,4%,6%,38%,15%
225,23,388,C601166,C601166,"INDUSTRIAL BANK CO.,LTD.","46,047",Finance,-17%,0.8,4.1,0.9,0.6,1%,14%,,
344,442,45,C603288,C603288,FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY LTD.,"45,215",Consumer Non-Durables,-34%,13.4,49.6,77.1,14.2,23%,31%,36%,29%
217,449,8,C600809,C600809,"SHANXI XINGHUACUN FEN WINE FACTORY CO.,LTD","44,938",Consumer Non-Durables,-19%,20.2,48.4,51.9,21.5,25%,43%,69%,36%
128,5,440,C601328,C601328,"BANK OF COMMUNICATIONS CO.,LTD.","43,412",Finance,1%,0.7,,,0.4,1%,10%,,
297,140,168,C000333,C000333,MIDEA GROUP CO LTD,"42,164",Consumer Durables,-36%,0.9,10.3,22.3,2.5,7%,24%,23%,19%
474,295,43,C002415,C002415,HANGZHOU HIKVISION,"40,499",Electronic Technology,-45%,3.5,17.6,249.5,4.5,17%,28%,43%,33%
130,268,476,C002714,C002714,MUYUAN FOODS CO LT,"40,361",Process Industries,-3%,3.7,,,5.7,-6%,-18%,-6%,7%
159,418,7,C000568,C000568,LUZHOU LAO JIAO CO,"39,251",Consumer Non-Durables,-17%,16.2,31.2,135.1,10.3,22%,35%,83%,33%
282,178,139,C600309,C600309,"WANHUA CHEMICAL GROUP CO.,LTD.","37,587",Process Industries,-21%,1.9,12.7,,4,11%,33%,19%,17%
412,424,84,C600276,C600276,"JIANGSU HENGRUI PHARMACEUTICALS CO.,LTD.","35,229",Health Technology,-22%,9.7,62.7,185.1,7.1,10%,12%,83%,53%
484,362,352,C688235,C688235,"BEIGENE, LTD.","34,813",Health Technology,-33%,19.5,,,3.8,-30%,-44%,75%,13%
322,207,380,C002352,C002352,S.F. HOLDING CO,"34,674",Transportation,-19%,1.1,39.7,,3,3%,9%,12%,11%
318,148,304,C600030,C600030,CITIC SECURITIES COMPANY LIMITED,"34,397",Finance,-23%,3.9,11.6,2.4,1.2,2%,11%,80%,4%
403,351,197,C300059,C300059,EAST MONEY INFORMA,"32,732",Technology Services,-36%,12.9,24.7,53.7,5,5%,19%,94%,7%
164,295,465,C601816,C601816,BEIJING-SHANGHAI HIGH SPEED RAILWAY,"30,791",Industrial Services,-3%,7.7,214.6,22.8,1.2,,1%,19%,3%
346,462,66,C300015,C300015,AIER EYE HOSPITAL,"30,097",Health Services,-15%,14.3,85.5,105.9,18.9,11%,22%,51%,33%
482,371,202,C603259,C603259,WUXI APPTEC,"30,097",Health Technology,-45%,10.2,,,6,10%,14%,,13%
438,12,415,C000001,C000001,PING AN BANK,"29,820",Finance,-43%,0.8,5.3,,0.7,1%,12%,,
465,310,22,C300122,C300122,CHONGQING ZHIFEI B,"29,542",Health Technology,-36%,4.9,17.8,34.5,8.5,29%,49%,37%,43%
271,317,56,C002304,C002304,JIANGSU YANGHE BRE,"29,404",Consumer Non-Durables,-21%,10.1,24.6,22,5.1,15%,21%,68%,25%
200,225,88,C600438,C600438,"TONGWEI CO.,LTD","29,404",Process Industries,-14%,3.4,12.5,,5.7,19%,44%,32%,15%
108,3,361,C601668,C601668,CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LIMITED,"29,126",Industrial Services,10%,0.1,3.9,,0.6,2%,17%,10%,8%
25,105,53,C601225,C601225,SHAANXI COAL INDUSTRY COMPANY LIMITED,"29,126",Energy Minerals,57%,1.4,5.5,2.8,2.4,20%,44%,36%,21%
137,121,152,C600690,C600690,HAIER SMART HOME,"28,433",Consumer Durables,-10%,1,15.4,,2.8,7%,18%,31%,31%
333,175,213,C601899,C601899,ZIJIN MINING GROUP COMPANY LIMITED,"28,155",Non-Energy Minerals,-31%,0.9,9.8,74.6,2.9,9%,28%,17%,11%
312,17,457,C600000,C600000,SHANGHAI PUDONG DEVELOPMENT BANK,"28,155",Finance,-24%,0.6,4.6,1.4,0.4,1%,9%,,
210,228,237,C002475,C002475,LUXSHARE PRECISION,"28,017",Electronic Technology,-23%,1.4,26.7,,5.8,7%,22%,10%,13%
45,118,386,C600048,C600048,POLY DEVELOPMENTS AND HOLDINGS GROUP,"27,878",Finance,32%,0.7,7.1,106.2,1.1,2%,16%,,4%
152,25,431,C601998,C601998,CHINA CITIC BANK CORPORATION LIMITED,"27,739",Finance,0%,0.7,4.5,3.1,0.4,1%,11%,,
171,57,407,C601319,C601319,THE PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA LIMITED,"27,601",Finance,-1%,0.4,10.1,2,1,2%,10%,,
387,447,301,C300274,C300274,SUNGROW POWER SUPP,"26,630",Electronic Technology,-17%,7.8,109.2,,12.1,4%,13%,21%,10%
255,237,79,C600887,C600887,"INNER MONGOLIA YILI INDUSTRIAL GROUP CO.,LTD","25,936",Process Industries,-21%,1.7,20.1,62.4,4.1,9%,24%,,28%
16,157,125,C600188,C600188,YANKUANG ENERGY GROUP COMPANY LIMITED,"25,798",Energy Minerals,68%,1.5,7.9,5.3,3.7,10%,47%,35%,13%
231,83,374,C002142,C002142,BANK OF NINGBO CO.,"25,520",Finance,-22%,1.9,8.4,,1.4,1%,15%,,
494,235,285,C601633,C601633,GREAT WALL MOTOR COMPANY LIMITED,"25,104",Consumer Durables,-58%,1.8,24.6,25.6,3.9,6%,15%,19%,9%
232,2,451,C000002,C000002,CHINA VANKE CO,"24,965",Finance,-20%,0.4,,,0.8,1%,10%,,4%
353,434,332,C300014,C300014,EVE ENERGY CO LTD,"24,549",Producer Manufacturing,-19%,10.6,64.3,,9.9,6%,16%,15%,6%
332,40,17,C601919,C601919,COSCO SHIPPING HOLDINGS,"23,994",Transportation,-30%,0.5,1.6,1.8,1.4,29%,87%,46%,28%
290,267,425,C600905,C600905,CHINA THREE GORGES RENEWABLES (GROUP),"23,856",Utilities,-15%,11.1,,,2.5,3%,10%,,3%
286,338,190,C600406,C600406,NARI TECHNOLOGY,"23,578",Producer Manufacturing,-16%,4,28.6,290.8,4.5,9%,16%,26%,16%
392,45,422,C601601,C601601,CHINA PACIFIC INSURANCE (GROUP),"23,578",Finance,-31%,0.4,8.4,2.8,0.8,1%,10%,,
336,19,263,C601138,C601138,FOXCONN INDUSTRIAL INTERNET,"23,162",Electronic Technology,-27%,0.4,8.4,,1.4,8%,18%,7%,12%
184,437,104,C300124,C300124,SHENZHEN INOVANCE,"23,162",Producer Manufacturing,1%,9.3,42.2,414.4,10.5,14%,26%,33%,18%
384,58,428,C600104,C600104,SAIC MOTOR CORPORATION LIMITED,"22,746",Consumer Durables,-32%,0.2,9.2,18.1,0.6,2%,7%,10%,9%
224,46,189,C000651,C000651,GREE ELEC APPLICAN,"22,746",Producer Manufacturing,-21%,0.9,6.9,,1.6,8%,26%,25%,13%
11,406,464,C688223,C688223,JINKO SOLAR,"22,746",Electronic Technology,93%,3.9,107,,11.7,,,,5%
160,488,28,C688271,C688271,SHANGHAI UNITED IMAGING HEALTHCARE,"22,607",Commercial Services,17%,22.7,,,32.5,14%,33%,,32%
