Ticker_L,Name_no,Ticker_s,Ticker,Price,MKT CAP Ori,MKT CAP,1Y Return,1M Return,Momentum,Momentum Rank,P/S,P/E,P/FCF,P/B,PS Rank,PE Rank,PFCF Rank,PB Rank,Value Average,Value Rank,Sector,ROA,ROE,Gross margin,GPOA,Gross Profit,Asset,ROA Rank,ROE Rank,GM Rank,GPOA Rank,Profitability Average,Profitability Rank,Name
ASX:BHP,bhp,BHP,BHP,38.07,1.93E+11,1.21E+11,10%,-0.98829906,11.30%,102,2.16642574,6.2,17.9139,2.96889802,216,276,148,176,204,238,Non-Energy Minerals,19.72649778,41.8,50.46470849,40%,54760734205,1.38E+11,29,30,97,41,49.25,20,BHP GROUP LIMITED
ASX:CBA,commonwealth-bank,CBA,CBA,99.28,1.68E+11,1.06E+11,-5%,3.11591299,-8.30%,211,6.32551659,17,11.123,2.35199384,111,154,190,217,168,304,Finance,0.83849755,12.77,,,,1.22E+12,292,169,,,230.5,262,COMMONWEALTH BANK OF AUSTRALIA.
ASX:RIO,rio-tinto,RIO,RIO,91.5,1.40E+11,88216096192,-6%,-1.71858006,-4.10%,174,1.7764826,6.2,33.1335,2.11032189,247,277,92,234,213,226,Non-Energy Minerals,17.06226111,33.86,41.28212783,28%,41313801415,1.48E+11,49,43,126,75,73.25,45,RIO TINTO LIMITED
ASX:CSL,csl,CSL,CSL,267.5,1.29E+11,81265482834,-10%,-5.14184397,-5.60%,190,8.82568765,41.3,179.439,6.17249047,91,57,21,86,64,443,Health Technology,9.46124905,19.12,53.02042351,19%,7676182995,41221551662,101,114,88,137,110,84,CSL LIMITED
ASX:NAB,national-australia-bank,NAB,NAB,31.4,98841180977,62269944016,9%,4.66666667,3.90%,128,5.38009801,16.2,,1.6641166,118,161,,285,188,266,Finance,0.73744932,11.11,,,,9.76E+11,294,194,,,244,281,NATIONAL AUSTRALIA BANK LIMITED
ASX:WBC,westpac,WBC,WBC,23.73,82978211920,52276273510,-8%,9.25414868,-15.70%,265,3.67135893,17.2,11.4206,1.21674675,157,151,188,339,209,232,Finance,0.57080975,7.44,,,,9.65E+11,303,234,,,268.5,314,WESTPAC BANKING CORPORATION
ASX:ANZ,australia-and-new-zealand-banking,ANZ,ANZ,25.55,76280090361,48056456927,-10%,8.03382664,-16.40%,269,3.29725271,11.6,255.81,1.15290677,165,201,11,354,183,277,Finance,0.66443975,10.88,,,,1.02E+12,297,196,,,246.5,285,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ASX:WDS,,WDS,WDS,35.47,67275906285,42383820960,45%,8.07434491,33.90%,55,3.62019917,8,4.75701,1.80897615,159,254,241,268,231,195,Energy Minerals,8.15167297,14.26,53.25637222,5%,3854391547,79912746310,116,153,87,279,158.75,149,WOODSIDE ENERGY GROUP LTD
ASX:MQG,macquarie,MQG,MQG,157.69,58481229608,36843174653,-20%,-7.54031076,-13.30%,248,3.74025325,12.8,10.0543,2.03406717,154,185,198,242,195,258,Finance,1.41401829,18.02,,,,3.99E+11,278,123,,,200.5,210,MACQUARIE GROUP LIMITED
ASX:FMG,fortescue-metals-group,FMG,FMG,16.36,50344702572,31717162620,12%,-2.7926322,14.90%,90,2.12388032,6,,2.01588547,221,282,,245,249,157,Non-Energy Minerals,21.10539274,35.04,55.56724405,31%,13320625816,42312222788,28,40,82,57,51.75,24,FORTESCUE METALS GROUP LTD
