Ticker_no,Ticker,Ticker_s,Price,MKT CAP,1Y Return,1M Return,Momentum Return,Momentum Rank,P/S,P/E,P/FCF,P/B,PS Rank,PE Rank,PFCF Rank,PB Rank,Value Average,Value Rank,Sector,ROA,ROE,Gross margin,GPOA,Gross Profit,Asset,ROA Rank,ROE Rank,GM Rank,GPOA Rank,Profitability Average,Profitability Rank,Name
TSE:7203,7203,7203,1987.5,2.75E+13,-1.85185185,-1.60891089,-0.20%,218,0.88691223,10.3016788,,1.05203646,303,354,,308,322,139,Consumer Durables,4.02600895,10.44353728,17.8899996,8%,5.97E+12,7.19E+13,297,229,382,413,330,371,TOYOTA MOTOR CORP
TSE:9432,9432,9432,4034,1.43E+13,27.13520328,2.4898374,24.00%,57,1.20764942,12.07740516,14.8672,1.75009479,243,308,262,202,254,226,Communications,5.09484847,14.88870176,19.90891243,10%,2.46E+12,2.44E+13,241,121,360,394,279,305,NIPPON TEL & TEL CORP
TSE:6758,6758,6758,9580,1.19E+13,-24.80376766,-6.89990282,-19.20%,398,1.2264766,13.67606225,,1.68380003,239,274,,212,242,247,Electronic Technology,3.03027125,12.85784251,34.3735929,11%,3.32E+12,3.04E+13,341,159,202,378,270,291,SONY GROUP CORPORATION
TSE:6861,6861,6861,47920,1.16E+13,-28.80701233,-4.93949613,-25.10%,437,15.43139716,36.94619158,61.3002,5.36136997,7,61,72,43,46,474,Electronic Technology,14.39489001,15.02024112,82.30174803,27%,6.21E+11,2.34E+12,36,119,18,154,82,38,KEYENCE CORP
TSE:9433,9433,9433,4292,9.64E+12,15.09788147,-1.60476845,17.00%,87,1.76840175,14.21072388,11.6474,1.90861859,166,260,294,186,227,269,Communications,6.29123236,13.84671058,44.653718,22%,2.46E+12,1.12E+13,177,136,126,209,162,124,KDDI CORPORATION
TSE:9984,9984,9984,5758,9.09E+12,-14.21334923,5.34211489,-18.60%,390,1.58770432,,,1.00418297,194,,,324,259,218,Communications,-12.01561081,-61.84543893,62.79711803,7%,3.27E+12,4.70E+13,499,500,57,421,369,411,SOFTBANK GROUP CORP
TSE:8306,8306,8306,695.3,8.71E+12,4.65080961,-5.3884908,10.60%,126,1.61609391,10.32356096,,0.51350094,189,353,,464,335,122,Finance,0.23003446,5.06645731,,,,3.87E+14,459,405,,,432,466,MITSUBISHI UFJ FINANCIAL GROUP INC
TSE:9983,9983,9983,83720,8.55E+12,11.3445937,3.35802469,7.70%,143,3.74542671,31.53080072,25.749,5.51175102,67,79,183,40,92,437,Retail Trade,9.6011794,20.4121822,44.61229983,32%,1.03E+12,3.18E+12,82,58,127,111,95,50,FAST RETAILING CO LTD
TSE:4568,4568,4568,4380,8.40E+12,57.63901386,5.89941973,48.90%,16,8.12095516,167.7723788,207.657,6.27590674,26,9,12,34,20,493,Health Technology,2.32282668,3.77585017,67.67866196,30%,6.82E+11,2.29E+12,376,441,44,133,249,246,DAIICHI SANKYO COMPANY LIMITED
TSE:7974,7974,7974,6036,7.76E+12,21.47313343,-1.69381107,23.60%,58,4.24454402,14.19839509,175.357,3.45664363,62,261,17,89,107,422,Consumer Durables,20.6346977,26.24961323,55.81478398,36%,9.38E+11,2.59E+12,14,29,79,79,50,22,NINTENDO CO LTD
