Ticker_no,Ticker,Name,Ticker_s,Price,MKT CAP,1Y Return,1M Return,Momentum Return,Momentum Rank,P/S,P/E,P/FCF,P/B,PS Rank,PE Rank,PFCF Rank,PB Rank,Value Average,Value Rank,Sector,ROA,ROE,Gross margin,GPOA,Gross Profit,Asset,ROA Rank,ROE Rank,GM Rank,GPOA Rank,Profitability Average,Profitability Rank,Name
NASDAQ:AAPL,AAPL,apple,AAPL,147.27,2.36674E+12,-1.03487669,-6.40015254,5.70%,125,6.61,23.69,31.57,37.33,90,199,234,22,136,113,Electronic Technology,29.91312754,162.8163122,43.31427303,45%,1.53E+11,3.36E+11,10,12,212,51,71,28,Apple Inc.
NASDAQ:MSFT,MSFT,microsoft,MSFT,242.12,1.8057E+12,-21.17724962,-0.88017358,-20.50%,319,8.98,24.49,41.19,10.58,53,176,178,83,123,410,Technology Services,20.82336724,47.1513305,68.40167448,37%,1.36E+11,3.65E+11,38,59,84,91,68,26,Microsoft Corporation
NASDAQ:GOOG,GOOG,alphabet,GOOG,101.48,1.32152E+12,-28.63170924,-0.74334898,-28.10%,380,5.29,18.71,29.26,5.29,115,257,249,168,197,303,Technology Services,20.85691282,29.21636402,56.60053387,41%,1.47E+11,3.55E+11,37,138,136,64,94,52,Alphabet Inc.
NASDAQ:AMZN,AMZN,amazon,AMZN,119.32,1.21558E+12,-30.10470821,-2.58796636,-28.20%,381,2.53,103.14,,8.49,289,18,,100,136,389,Retail Trade,2.97597452,9.42872809,42.64522476,47%,1.97E+11,4.20E+11,339,333,217,47,234,243,"Amazon.com, Inc."
NASDAQ:TSLA,TSLA,tesla,TSLA,214.44,6.71941E+11,-24.84571924,-30.44211619,8.00%,119,13.04,74.9,239.44,21.28,31,28,9,39,27,492,Consumer Durables,15.37777275,31.08205296,27.098532,20%,13606000000,68513000000,76,123,331,237,192,182,"Tesla, Inc."
NYSE:BRK.A,BRK-A,berkshire-hathaway,BRK-A,427169.99,6.29738E+11,-1.27562608,0.8061281,-2.10%,172,2.26,55.05,26.03,1.21,311,44,270,427,263,198,Finance,1.28350545,2.51063181,19.72554264,6%,55164000000,9.10E+11,397,405,384,401,397,474,Berkshire Hathaway Inc.
NYSE:UNH,UNH,unitedhealth,UNH,533.73,4.99242E+11,22.55568312,1.65704817,20.60%,62,1.73,25.51,32.86,6.83,366,165,223,131,221,270,Health Services,8.51989327,26.19622224,,,,2.43E+11,186,166,,,176,159,UnitedHealth Group Incorporated
NYSE:JNJ,JNJ,johnson-and-johnson,JNJ,168.71,4.43569E+11,2.68411442,2.23609259,0.40%,158,4.71,22.98,52.42,5.86,142,210,126,149,157,361,Health Technology,10.37146633,25.16976504,74.02245975,36%,63884000000,1.78E+11,151,179,58,100,122,84,Johnson & Johnson
NYSE:XOM,XOM,exxon,XOM,105.86,4.41186E+11,66.78745864,13.13455167,47.40%,14,1.58,11.35,12.38,2.61,387,351,361,299,350,83,Energy Minerals,11.04865806,23.19232361,24.97446716,18%,67602000000,3.68E+11,135,191,348,253,232,238,Exxon Mobil Corporation
NYSE:V,V,visa,V,190.37,3.93843E+11,-17.48157781,-1.12190308,-16.50%,279,16.99,29.26,41.57,11.47,16,129,175,73,98,440,Commercial Services,16.98466811,38.96114531,77.67965245,21%,18331000000,85410000000,54,78,43,219,99,53,Visa Inc.
