Momentum Rank,Value Rank,Profitability Rank,Ticker_s,Ticker,Name,MKT CAP (US$M),Sector,1Y Return,P/S,P/E,P/FCF,P/B,ROA,ROE,Gross margin,GPOA
102,238,20,BHP,BHP,BHP GROUP LIMITED," 121,000 ",Non-Energy Minerals,10%,2.2,6.2,17.9,3,20%,42%,51%,40%
211,304,262,CBA,CBA,COMMONWEALTH BANK OF AUSTRALIA.," 106,000 ",Finance,-5%,6.3,17,11.1,2.4,1%,13%,,
174,226,45,RIO,RIO,RIO TINTO LIMITED," 88,216 ",Non-Energy Minerals,-6%,1.8,6.2,33.1,2.1,17%,34%,41%,28%
190,443,84,CSL,CSL,CSL LIMITED," 81,265 ",Health Technology,-10%,8.8,41.3,179.4,6.2,10%,19%,53%,19%
128,266,281,NAB,NAB,NATIONAL AUSTRALIA BANK LIMITED," 62,270 ",Finance,9%,5.4,16.2,,1.7,1%,11%,,
265,232,314,WBC,WBC,WESTPAC BANKING CORPORATION," 52,276 ",Finance,-8%,3.7,17.2,11.4,1.2,1%,7%,,
269,277,285,ANZ,ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED," 48,056 ",Finance,-10%,3.3,11.6,255.8,1.2,1%,11%,,
55,195,149,WDS,WDS,WOODSIDE ENERGY GROUP LTD," 42,384 ",Energy Minerals,45%,3.6,8,4.8,1.8,8%,14%,53%,5%
248,258,210,MQG,MQG,MACQUARIE GROUP LIMITED," 36,843 ",Finance,-20%,3.7,12.8,10.1,2,1%,18%,,
90,157,24,FMG,FMG,FORTESCUE METALS GROUP LTD," 31,717 ",Non-Energy Minerals,12%,2.1,6,,2,21%,35%,56%,31%
286,310,115,WES,WES,WESFARMERS LIMITED," 30,931 ",Retail Trade,-23%,1.4,21.4,,6.3,9%,27%,16%,21%
157,313,226,TLS,TLS,TELSTRA GROUP LIMITED," 27,541 ",Communications,0%,2.1,27,16.4,2.9,4%,11%,24%,10%
245,285,82,WOW,WOW,WOOLWORTHS GROUP LIMITED," 25,131 ",Retail Trade,-18%,0.7,26.4,,6.7,4%,42%,30%,54%
179,435,339,TCL,TCL,TRANSURBAN GROUP," 23,903 ",Transportation,-11%,11,2850,98.6,2.7,0%,0%,21%,2%
119,192,180,STO,STO,SANTOS LIMITED," 15,958 ",Energy Minerals,4%,2.5,11.3,9.3,1.4,6%,13%,45%,5%
352,392,61,ALL,ALL,ARISTOCRAT LEISURE LIMITED," 14,471 ",Consumer Services,-27%,4.7,23.1,30.1,5.8,12%,23%,52%,25%
203,311,88,COL,COL,COLES GROUP LIMITED.," 13,769 ",Retail Trade,-9%,0.6,21.1,38.2,7.1,5%,35%,27%,43%
120,472,51,WTC,WTC,WISETECH GLOBAL LIMITED," 11,482 ",Technology Services,5%,29,94.4,49.2,13.9,13%,16%,78%,30%
139,187,317,QBE,QBE,QBE INSURANCE GROUP LIMITED," 11,056 ",Finance,0%,1,32.1,4.9,1.6,1%,6%,,
144,74,67,S32,S32,SOUTH32 LIMITED," 10,776 ",Non-Energy Minerals,-4%,1.3,4.7,7.1,1.1,18%,27%,34%,22%
93,318,169,BXB,BXB,BRAMBLES LIMITED," 9,736 ",Industrial Services,7%,2.1,19.7,,4.4,7%,22%,18%,11%
17,417,12,PLS,PLS,PILBARA MINERALS LIMITED," 9,542 ",Non-Energy Minerals,139%,12.7,26.9,13.8,11.5,38%,60%,67%,40%
383,103,215,NCM,NCM,NEWCREST MINING LIMITED," 9,449 ",Non-Energy Minerals,-33%,2.4,11.8,,0.9,5%,8%,32%,7%
332,446,54,REA,REA,REA GROUP LTD," 9,428 ",Commercial Services,-30%,10.6,39.4,51.7,11.7,16%,33%,42%,23%
51,415,256,CPU,CPU,COMPUTERSHARE LIMITED.," 9,368 ",Technology Services,36%,4.2,47.4,41.1,4.7,4%,10%,18%,9%
320,192,78,SHL,SHL,SONIC HEALTHCARE LIMITED," 9,325 ",Health Services,-21%,1.6,10.1,10.7,2,12%,21%,37%,26%
406,418,52,JHX,JHX,JAMES HARDIE INDUSTRIES PLC," 8,911 ",Non-Energy Minerals,-38%,2.9,20.8,990.8,8.1,12%,39%,36%,29%
31,389,116,MIN,MIN,MINERAL RESOURCES LIMITED," 8,835 ",Non-Energy Minerals,76%,4,38.7,,4.2,5%,11%,55%,24%
274,152,324,SUN,SUN,SUNCORP GROUP LIMITED," 8,537 ",Finance,-14%,1.1,21.4,9.7,1.1,1%,5%,,
130,322,119,EDV,EDV,ENDEAVOUR GROUP LIMITED," 8,349 ",Retail Trade,9%,1.1,26.5,36.4,3.7,5%,14%,31%,33%
204,297,325,RHC,RHC,RAMSAY HEALTH CARE LIMITED," 8,099 ",Health Services,-16%,1,49.3,,3.5,1%,7%,7%,5%
213,445,40,COH,COH,COCHLEAR LIMITED," 8,010 ",Health Technology,-13%,7.8,44.3,94.7,7.6,12%,17%,75%,50%
236,371,165,ASX,ASX,ASX LIMITED," 7,998 ",Finance,-20%,11.7,25.3,14.2,3.4,3%,14%,94%,6%
42,408,178,IGO,IGO,IGO LIMITED," 7,546 ",Non-Energy Minerals,61%,14,35.8,31.8,3.4,8%,10%,39%,7%
220,259,318,IAG,IAG,INSURANCE AUSTRALIA GROUP LIMITED," 7,377 ",Finance,-5%,1.6,36.4,,1.9,1%,6%,,
75,430,260,APA,APA,APA GROUP," 7,158 ",Industrial Services,14%,4.2,49.6,168,4.3,2%,8%,34%,6%
205,129,441,QAN,QAN,QANTAS AIRWAYS LIMITED," 6,928 ",Transportation,2%,1.4,,4.8,,-5%,-544%,-12%,-6%
422,453,193,XRO,XRO,XERO LIMITED," 6,923 ",Technology Services,-50%,10.4,,74.4,11.3,0%,-1%,73%,35%
326,167,246,SOL,SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED," 6,176 ",Energy Minerals,-21%,3.1,,9.6,1.2,-1%,-1%,60%,15%
10,152,7,WHC,WHC,WHITEHAVEN COAL LIMITED," 6,144 ",Energy Minerals,246%,2,5.1,2.1,2.3,36%,56%,73%,58%
136,307,76,MPL,MPL,MEDIBANK PRIVATE LIMITED," 6,081 ",Finance,1%,1.3,24.5,15,5,9%,21%,,
293,256,150,REH,REH,REECE LIMITED," 5,921 ",Distribution Services,-20%,1.2,24.1,,2.9,6%,13%,17%,32%
27,343,95,AKE,AKE,ALLKEM LIMITED," 5,885 ",Non-Energy Minerals,62%,8.4,22.2,21.9,2.2,10%,16%,71%,11%
117,373,336,ALX,ALX,ATLAS ARTERIA," 5,859 ",Transportation,6%,66.7,31.9,,1.9,4%,6%,-2%,0%
195,381,17,TLC,TLC,THE LOTTERY CORPORATION LIMITED," 5,819 ",Consumer Services,-10%,2.8,,16.8,37.7,10%,135%,,63%
308,219,306,NST,NST,NORTHERN STAR RESOURCES LTD," 5,813 ",Non-Energy Minerals,-16%,2.5,21.5,10.5,1.1,4%,5%,13%,4%
110,358,190,TWE,TWE,TREASURY WINE ESTATES LIMITED," 5,753 ",Consumer Non-Durables,6%,3.7,35.3,32,2.4,4%,7%,41%,15%
98,36,392,ORG,ORG,ORIGIN ENERGY LIMITED," 5,710 ",Utilities,2%,0.7,,4.3,0.9,-6%,-14%,0%,0%
202,367,194,AFI,AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED," 5,667 ",Miscellaneous,-11%,22.6,24.7,161.4,1.3,4%,5%,100%,5%
132,337,134,OZL,OZL,OZ MINERALS LIMITED," 5,359 ",Non-Energy Minerals,0%,4,22.8,29.5,2.3,7%,10%,43%,18%
351,192,339,TPG,TPG,TPG TELECOM LIMITED.," 5,318 ",Communications,-34%,1.6,42.7,19,0.7,1%,2%,11%,3%
348,137,171,SGP,SGP,STOCKLAND," 4,956 ",Finance,-29%,2.8,5.8,29.5,0.8,7%,14%,39%,5%
26,70,33,YAL,YAL,YANCOAL AUSTRALIA LIMITED," 4,950 ",Energy Minerals,71%,1.3,2.8,2.1,1.2,22%,44%,66%,20%
322,469,70,IEL,IEL,IDP EDUCATION LIMITED," 4,907 ",Consumer Services,-24%,10,76.9,90.5,17.3,12%,24%,34%,28%
319,25,57,BSL,BSL,BLUESCOPE STEEL LIMITED," 4,640 ",Producer Manufacturing,-24%,0.4,2.8,5.7,0.8,19%,32%,25%,28%
158,182,161,ALD,ALD,AMPOL LIMITED," 4,614 ",Energy Minerals,-2%,0.3,8,47.7,2.4,8%,27%,9%,13%
410,412,130,SEK,SEK,SEEK LIMITED," 4,464 ",Technology Services,-39%,6.5,43.2,33.4,4,5%,13%,57%,14%
77,270,331,WOR,WOR,WORLEY LIMITED," 4,447 ",Industrial Services,18%,0.7,42.1,7505.5,1.3,2%,3%,6%,6%
79,209,196,IPL,IPL,INCITEC PIVOT LIMITED," 4,332 ",Process Industries,14%,1.6,14,20.7,1.3,6%,9%,30%,11%
113,361,21,LYC,LYC,LYNAS RARE EARTHS LIMITED," 4,242 ",Non-Energy Minerals,0%,7.4,12.6,29.2,4.1,31%,40%,61%,27%
249,437,73,CAR,CAR,CARSALES.COM LIMITED.," 4,218 ",Technology Services,-19%,10.6,34.1,86.2,5.3,11%,17%,74%,20%
172,353,254,ARG,ARG,ARGO INVESTMENTS LIMITED," 4,103 ",Miscellaneous,-8%,18.9,20.4,264.5,1.2,5%,6%,,
15,205,14,NHC,NHC,NEW HOPE CORPORATION LIMITED," 4,093 ",Energy Minerals,209%,2.5,6.5,5.3,2.5,32%,48%,61%,45%
199,250,207,AZJ,AZJ,AURIZON HOLDINGS LIMITED," 4,046 ",Transportation,-11%,2.2,12.7,35.5,1.5,5%,12%,26%,8%
289,117,246,SVW,SVW,SEVEN GROUP HOLDINGS LIMITED," 3,962 ",Distribution Services,-19%,0.8,11.5,,1.8,4%,12%,16%,10%
183,203,341,ORI,ORI,ORICA LIMITED," 3,811 ",Process Industries,-10%,1.1,,23.3,2,-4%,-9%,15%,11%
155,341,323,CWY,CWY,CLEANAWAY WASTE MANAGEMENT LIMITED," 3,618 ",Industrial Services,-7%,1.8,68.9,45,2.1,2%,3%,11%,6%
229,13,357,LLC,LLC,LENDLEASE GROUP," 3,499 ",Industrial Services,-25%,0.6,,,0.8,-1%,-2%,8%,4%
125,488,9,PME,PME,PRO MEDICUS LIMITED," 3,417 ",Health Services,-2%,57.4,120.8,102.3,52.6,31%,49%,75%,45%
304,397,132,ALQ,ALQ,ALS LIMITED," 3,328 ",Commercial Services,-21%,2.5,27.8,165.4,4.7,7%,17%,18%,26%
477,391,90,DMP,DMP,DOMINO'S PIZZA ENTERPRISES LIMITED," 3,173 ",Consumer Services,-58%,2.2,32.2,,12.1,7%,39%,28%,26%
252,161,57,HVN,HVN,HARVEY NORMAN HOLDINGS LIMITED," 3,093 ",Retail Trade,-21%,1.2,6,69.8,1.1,12%,20%,51%,29%
225,83,315,BEN,BEN,BENDIGO AND ADELAIDE BANK LIMITED," 3,090 ",Finance,-8%,2.8,11.2,,0.7,1%,8%,,
338,149,321,BOQ,BOQ,BANK OF QUEENSLAND LIMITED.," 3,058 ",Finance,-19%,2.3,13.1,17.9,0.7,0%,7%,,
137,365,128,SDF,SDF,STEADFAST GROUP LIMITED," 3,035 ",Finance,-3%,4,26.6,35.5,2.7,5%,12%,59%,17%
210,249,312,CGF,CGF,CHALLENGER LIMITED," 2,872 ",Finance,-2%,14.1,22.7,2.5,1.2,1%,7%,,
161,467,59,ALU,ALU,ALTIUM LIMITED," 2,811 ",Technology Services,-6%,14.7,58.7,82.2,11.2,14%,21%,47%,26%
263,184,46,JBH,JBH,JB HI-FI LIMITED," 2,783 ",Retail Trade,-15%,0.5,8.5,16.9,3.5,17%,42%,23%,66%
105,111,177,VEA,VEA,VIVA ENERGY GROUP LIMITED," 2,776 ",Energy Minerals,17%,0.3,7,13.6,2.1,8%,26%,8%,11%
285,252,322,QUB,QUB,QUBE HOLDINGS LIMITED," 2,758 ",Transportation,-23%,2,40.5,,1.5,2%,4%,10%,4%
95,44,255,AGL,AGL,AGL ENERGY LIMITED.," 2,742 ",Utilities,5%,0.3,5.1,19.7,0.7,5%,14%,8%,6%
133,475,183,LTR,LTR,LIONTOWN RESOURCES LIMITED," 2,567 ",Non-Energy Minerals,15%,,86,,8.6,16%,17%,,0%
306,414,330,NXT,NXT,NEXTDC LIMITED," 2,522 ",Technology Services,-26%,14.1,446.5,,2.4,0%,1%,27%,3%
159,234,33,ILU,ILU,ILUKA RESOURCES LIMITED," 2,478 ",Non-Energy Minerals,-7%,2.5,6.5,16.4,2.4,19%,31%,60%,26%
362,364,3,GQG,GQG,GQG PARTNERS INC.," 2,465 ",Finance,-37%,7.8,8.9,,9.9,97%,115%,,
201,459,31,TNE,TNE,TECHNOLOGY ONE LIMITED," 2,412 ",Technology Services,-4%,12.2,48.8,51.8,19.8,20%,44%,43%,31%
170,227,205,MTS,MTS,METCASH LIMITED," 2,372 ",Distribution Services,-6%,0.3,15.9,25.8,3.5,5%,21%,5%,13%
366,261,99,PMV,PMV,PREMIER INVESTMENTS LIMITED," 2,325 ",Retail Trade,-25%,2.5,13,15.8,2.2,12%,18%,30%,20%
126,63,375,AMP,AMP,AMP LIMITED," 2,316 ",Finance,3%,1.7,,2.1,1,-1%,-7%,,
393,128,37,AWC,AWC,ALUMINA LIMITED," 2,312 ",Non-Energy Minerals,-41%,,9.2,,1.5,16%,16%,100%,
100,120,110,BPT,BPT,BEACH ENERGY LIMITED," 2,275 ",Energy Minerals,9%,2,7.1,10.3,1,10%,15%,42%,14%
82,107,38,CRN,CRN,CORONADO GLOBAL RESOURCES INC.," 2,176 ",Energy Minerals,38%,1.1,2.8,4,2.2,34%,81%,46%,18%
291,235,140,ANN,ANN,ANSELL LIMITED," 2,112 ",Producer Manufacturing,-16%,1.3,15.6,43.2,1.5,6%,10%,34%,25%
339,175,168,NEC,NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED," 2,104 ",Consumer Services,-30%,1.3,11.5,12.2,1.8,7%,16%,20%,13%
438,164,213,EVN,EVN,EVOLUTION MINING LIMITED," 2,092 ",Non-Energy Minerals,-52%,1.6,10.5,22.1,1,6%,11%,24%,7%
233,81,101,BKW,BKW,BRICKWORKS LIMITED," 2,052 ",Non-Energy Minerals,-12%,3,3.9,,1,18%,30%,32%,6%
94,291,94,NHF,NHF,NIB HOLDINGS LIMITED," 2,019 ",Finance,-2%,1.1,23,15.3,4.3,7%,19%,,
324,327,426,FLT,FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED," 1,936 ",Consumer Services,-28%,3,,,3.9,-8%,-33%,-3%,-1%
209,272,274,APM,APM,APM HUMAN SERVICES INTERNATIONAL LIMITED," 1,866 ",Commercial Services,-8%,1.4,72.1,11.4,2,2%,5%,23%,11%
345,163,277,DOW,DOW,DOWNER EDI LIMITED," 1,856 ",Industrial Services,-33%,0.3,20.8,44.8,1.1,2%,5%,11%,16%
267,198,128,APE,APE,EAGERS AUTOMOTIVE LIMITED," 1,769 ",Retail Trade,-28%,0.3,9.7,35.1,2.7,8%,28%,10%,22%
333,480,13,NWL,NWL,NETWEALTH GROUP LIMITED," 1,756 ",Finance,-34%,17.1,52.2,271.3,27.8,42%,56%,52%,64%
292,28,295,SGR,SGR,THE STAR ENTERTAINMENT GROUP LIMITED," 1,735 ",Consumer Services,-18%,1.8,,,0.8,-4%,-6%,42%,12%
474,55,288,BLD,BLD,BORAL LIMITED.," 1,730 ",Non-Energy Minerals,-60%,0.9,,,1.5,0%,-1%,24%,16%
178,144,60,ZIM,ZIM,ZIMPLATS HOLDINGS LIMITED," 1,695 ",Non-Energy Minerals,6%,1.5,5.3,56,0.9,15%,19%,52%,25%
353,180,121,RWC,RWC,RELIANCE WORLDWIDE CORPORATION LIMITED," 1,678 ",Producer Manufacturing,-33%,1.7,14.5,,1.7,7%,12%,39%,21%
391,319,107,BRG,BRG,BREVILLE GROUP LIMITED," 1,637 ",Consumer Durables,-38%,1.8,24.3,,4.1,11%,19%,21%,25%
138,281,108,ORA,ORA,ORORA LIMITED," 1,602 ",Process Industries,-2%,0.7,14.3,103.8,3.5,7%,25%,19%,28%
109,131,23,CIA,CIA,CHAMPION IRON LIMITED," 1,597 ",Non-Energy Minerals,3%,1.6,6.8,,2,18%,31%,54%,46%
16,460,381,CXO,CXO,CORE LITHIUM LTD," 1,589 ",Non-Energy Minerals,125%,,,,9.7,-5%,-5%,,0%
6,210,103,SMR,SMR,STANMORE RESOURCES LIMITED," 1,567 ",Energy Minerals,395%,2,4.9,2.5,4.7,12%,50%,58%,1%
104,444,30,LOV,LOV,LOVISA HOLDINGS LIMITED," 1,548 ",Retail Trade,10%,5.4,42.1,45.2,38,17%,106%,36%,44%
317,400,359,CTD,CTD,CORPORATE TRAVEL MANAGEMENT LIMITED," 1,543 ",Commercial Services,-32%,6.3,955.1,37.2,2.3,0%,0%,6%,2%
264,383,243,PXA,PXA,PEXA GROUP LIMITED," 1,539 ",Technology Services,-15%,8.8,112.7,27.9,1.9,1%,2%,63%,10%
232,438,411,PDN,PDN,PALADIN ENERGY LTD," 1,539 ",Non-Energy Minerals,-13%,345.5,,,4,-6%,-8%,-323%,-4%
147,58,77,SGM,SGM,SIMS LIMITED," 1,519 ",Non-Energy Minerals,-12%,0.3,4.3,20.9,1,15%,26%,20%,41%
262,145,97,PRU,PRU,PERSEUS MINING LIMITED," 1,479 ",Non-Energy Minerals,2%,1.8,8.8,4.7,1.5,14%,19%,31%,18%
149,169,123,BFL,BFL,BSP FINANCIAL GROUP LIMITED," 1,442 ",Finance,-4%,2.4,5.5,14.1,1.5,3%,30%,,
251,314,283,EVT,EVT,EVENT HOSPITALITY AND ENTERTAINMENT LTD," 1,434 ",Consumer Services,-10%,2.6,41.5,11.9,2.4,2%,6%,23%,7%
112,432,2,DRR,DRR,DETERRA ROYALTIES LIMITED," 1,402 ",Miscellaneous,9%,8.4,12.5,432.1,18.8,147%,198%,97%,168%
69,281,220,VNT,VNT,VENTIA SERVICES GROUP LIMITED," 1,396 ",Finance,25%,0.4,26.1,21.2,5.6,3%,32%,6%,10%
134,46,354,TAH,TAH,TABCORP HOLDINGS LIMITED," 1,371 ",Consumer Services,1%,1,,9.3,0.8,-2%,-3%,,6%
146,426,126,IPH,IPH,IPH LIMITED," 1,360 ",Commercial Services,7%,5.8,41.3,55.1,5,8%,12%,,
419,333,56,ARB,ARB,ARB CORPORATION LIMITED.," 1,337 ",Producer Manufacturing,-50%,3.1,17.7,,3.9,18%,23%,32%,31%
180,497,477,TLX,TLX,TELIX PHARMACEUTICALS LIMITED," 1,333 ",Health Technology,16%,222.9,,,792.6,-69%,-155%,-120%,-14%
329,69,62,SUL,SUL,SUPER RETAIL GROUP LIMITED," 1,326 ",Distribution Services,-27%,0.6,8.8,,1.6,7%,19%,47%,51%
303,114,75,CSR,CSR,CSR LIMITED," 1,315 ",Producer Manufacturing,-24%,0.9,7.9,,2.1,12%,26%,30%,29%
270,172,178,BAP,BAP,BAPCOR LIMITED," 1,311 ",Distribution Services,-24%,1.1,16.7,,1.9,6%,12%,21%,18%
363,126,203,IFL,IFL,INSIGNIA FINANCIAL LTD," 1,284 ",Finance,-31%,0.9,55.3,,0.8,1%,1%,62%,24%
85,101,233,NUF,NUF,NUFARM LIMITED," 1,257 ",Process Industries,15%,0.6,20.5,5,1.1,2%,5%,25%,18%
