Ticker_no,Ticker_s,Ticker,Ticker,Price,MKT CAP,1Y Return,1M Return,Momentum Return,Momentum Rank,P/S,P/E,P/FCF,P/B,PS Rank,PE Rank,PFCF Rank,PB Rank,Value Average,Value Rank,Sector,ROA,ROE,Gross margin,GPOA,Gross Profit,Asset,ROA Rank,ROE Rank,GM Rank,GPOA Rank,Profitability Average,Profitability Rank,Name
SSE:600519,C600519,C600519,600519.SS,1624,2.04E+12,-11.79186356,-13.46374163,1.90%,131,21.92613914,34.64390659,70.7767,10.89251845,37,141,116,71,91,417,Consumer Non-Durables,25.2270624,31.27813334,91.48973949,34%,84478924461,2.48E+11,20,52,3,33,27,5,"KWEICHOW MOUTAI CO.,LTD."
SSE:601398,C601398,C601398,601398.SS,4.35,1.46E+12,-7.44680851,-0.4576659,-7.00%,188,1.11832722,4.38906266,2.4738,0.53397885,382,411,275,483,388,43,Finance,0.98582533,11.34400591,,,,3.73E+13,414,301,,,358,418,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED
SSE:601939,C601939,C601939,601939.SS,5.54,1.05E+12,-7.97342193,-0.18018018,-7.80%,191,1.08040067,,4.74762,0.55462838,390,,253,482,375,62,Finance,1.03624771,12.41573821,,,,3.20E+13,406,278,,,342,402,CHINA CONSTRUCTION BANK CORPORATION
SZSE:300750,C300750,C300750,300750.SZ,413,1.00E+12,-30,-0.95923261,-29.30%,386,7.44368734,38.59747024,,11.38391982,147,129,,67,114,395,Producer Manufacturing,6.51548323,23.17510792,22.25772903,6%,32602670200,5.42E+11,236,115,277,383,253,259,CONTEMPORARY AMPER
SSE:601288,C601288,C601288,601288.SS,2.86,9.77E+11,-3.05084746,0.35087719,-3.40%,161,0.85593334,4.05347746,2.58769,0.48544103,418,415,273,486,398,30,Finance,0.85717075,11.76661719,,,,3.09E+13,421,293,,,357,416,AGRICULTURAL BANK OF CHINA LIMITED
SSE:600941,C600941,C600941,600941.SS,67.849998,9.34E+11,7.69840952,5.85023419,1.70%,132,1.57,11.18,,1.20889362,350,325,,400,358,80,Communications,,,,12%,2.36E+11,1.91E+12,,,,242,242,246,CHINA MOBILE LTD
SSE:601857,C601857,C601857,601857.SS,5.19,9.02E+11,-12.18274112,0.97276265,-13.00%,244,0.39552464,,17.5686,0.74725211,471,,198,462,377,59,Energy Minerals,3.69313713,7.43462906,,11%,2.92E+11,2.61E+12,307,386,,259,317,370,PETROCHINA COMPANY LIMITED
SSE:601988,C601988,C601988,601988.SS,3.07,8.47E+11,0.32679739,0,0.30%,139,0.93125349,4.01421427,3.63588,0.47116909,408,416,263,487,394,34,Finance,0.82276862,11.20962684,,,,2.81E+13,427,303,,,365,427,BANK OF CHINA LIMITED
SSE:600036,C600036,C600036,600036.SS,29.58,7.34E+11,-44.03027224,-14.1364321,-34.80%,425,1.66755889,,9.29489,1.03643373,343,,225,421,330,113,Finance,1.39,15.59,46.46,,,9.73E+12,384,216,115,,238,241,"CHINA MERCHANTS BANK CO.,LIMITED"
SZSE:002594,C002594,C002594,002594.SZ,266.29999,6.78E+11,-8.48797595,-2.0235468,-6.60%,185,3.55227511,139.6153492,27.6655,8.0689812,238,14,171,108,133,366,Consumer Durables,,,10.96621105,7%,22770630000,3.47E+11,,,377,365,371,431,BYD COMPANY LTD
SSE:601318,C601318,C601318,601318.SS,39.650002,6.76E+11,-23.08437872,-8.00463146,-16.40%,269,0.60283476,6.98657132,2.49703,0.89300297,449,385,274,444,388,42,Finance,1.01182638,12.66473846,,,,1.07E+13,412,274,,,343,405,"PING AN INSURANCE（GROUP） COMPANY OF CHINA, LTD."
SSE:601628,C601628,C601628,601628.SS,29.370001,6.75E+11,-6.28589343,-1.87102907,-4.50%,169,0.98989593,23.82703141,1.75948,1.76056436,403,207,287,354,313,137,Finance,0.72800031,7.4506156,,,,5.17E+12,434,385,,,410,466,CHINA LIFE INSURANCE COMPANY LIMITED
SZSE:000858,C000858,C000858,000858.SZ,152.14999,5.91E+11,-31.15385068,-7.89394636,-25.30%,342,10.60540002,23.67313563,56.6258,6.03975897,101,208,127,152,147,350,Consumer Non-Durables,19.83105555,26.42166162,72.35148577,31%,40089351962,1.30E+11,42,82,45,47,54,23,WULIANGYE YIBIN CO
SSE:601088,C601088,C601088,601088.SS,30.82,5.80E+11,40.15461573,-1.65922144,42.50%,41,1.89824248,9.13536571,11.6224,1.60529727,317,353,220,366,314,132,Energy Minerals,10.59999296,18.38224783,32.35106694,14%,93754000000,6.50E+11,143,163,203,198,177,163,CHINA SHENHUA ENERGY COMPANY LIMITED
SSE:600900,C600900,C600900,600900.SS,22.41,5.10E+11,6.71428571,-4.31255337,11.50%,98,9.32504726,17.52981795,28.1894,2.80593341,114,258,169,284,206,261,Utilities,8.68593714,17.06349298,64.03161113,10%,33223738166,3.35E+11,180,185,68,288,180,167,"CHINA YANGTZE POWER CO.,LTD."
SSE:600028,C600028,C600028,600028.SS,4.34,4.94E+11,-3.125,3.08788599,-6.00%,180,0.20830173,,6.86062,0.66697594,488,,239,471,399,28,Energy Minerals,,,,12%,2.52E+11,2.08E+12,,,,246,246,252,CHINA PETROLEUM & CHEMICAL CORPORATION
SZSE:300999,C300999,C300999,300999.SZ,42.43,4.37E+11,-31.58658497,-0.63232083,-31.20%,397,1.02603919,73.80335061,,2.6707487,399,44,,293,245,219,Consumer Non-Durables,1.49708399,3.61212169,5.76869599,8%,17389916000,2.19E+11,376,434,405,329,386,449,YIHAI KERRY ARAW.H
SSE:600938,C600938,C600938,600938.SS,15.92,4.18E+11,22.83950617,-0.5,23.50%,75,3.04696563,6.77880359,,1.54276866,262,388,,372,341,98,Energy Minerals,12.99384189,21.65648931,57.68652371,14%,1.27E+11,9.20E+11,103,131,82,206,131,107,CNOOC LIMITED
SZSE:300760,C300760,C300760,300760.SZ,331.54999,4.01E+11,-7.90278056,16.74295423,-21.10%,304,16.08786697,44.83403468,98.4879,14.88853441,64,103,89,40,74,446,Health Technology,24.66119517,34.57126683,61.65864557,40%,15624494541,38636377111,23,44,71,17,39,9,SHENZHEN MINDRAY B
