Momentum Rank,Value Rank,Profitability Rank,Ticker_s,Ticker,Name,MKT CAP (US$M),Sector,1Y Return,P/S,P/E,P/FCF,P/B,ROA,ROE,Gross margin,GPOA
125,113,28,AAPL,AAPL,Apple Inc.," 2,366,740 ",Electronic Technology,-1.03487669,6.6,23.7,31.6,37.3,30%,163%,43%,45%
319,410,26,MSFT,MSFT,Microsoft Corporation," 1,805,700 ",Technology Services,-21.17724962,9,24.5,41.2,10.6,21%,47%,68%,37%
380,303,52,GOOG,GOOG,Alphabet Inc.," 1,321,520 ",Technology Services,-28.63170924,5.3,18.7,29.3,5.3,21%,29%,57%,41%
381,389,243,AMZN,AMZN,"Amazon.com, Inc."," 1,215,580 ",Retail Trade,-30.10470821,2.5,103.1,,8.5,3%,9%,43%,47%
119,492,182,TSLA,TSLA,"Tesla, Inc."," 671,941 ",Consumer Durables,-24.84571924,13,74.9,239.4,21.3,15%,31%,27%,20%
172,198,474,BRK-A,BRK-A,Berkshire Hathaway Inc.," 629,738 ",Finance,-1.27562608,2.3,55.1,26,1.2,1%,3%,20%,6%
62,270,159,UNH,UNH,UnitedHealth Group Incorporated," 499,242 ",Health Services,22.55568312,1.7,25.5,32.9,6.8,9%,26%,0%,
158,361,84,JNJ,JNJ,Johnson & Johnson," 443,569 ",Health Technology,2.68411442,4.7,23,52.4,5.9,10%,25%,74%,36%
14,83,238,XOM,XOM,Exxon Mobil Corporation," 441,186 ",Energy Minerals,66.78745864,1.6,11.4,12.4,2.6,11%,23%,25%,18%
279,440,53,V,V,Visa Inc.," 393,843 ",Commercial Services,-17.48157781,17,29.3,41.6,11.5,17%,39%,78%,21%
212,272,221,WMT,WMT,Walmart Inc.," 371,308 ",Retail Trade,-6.67212444,0.7,26.8,79.7,4.5,6%,18%,25%,58%
406,75,414,JPM,JPM,JP Morgan Chase & Co.," 358,448 ",Finance,-28.4179087,2.8,9.8,13.1,1.3,1%,13%,0%,
481,157,24,META,META,"Meta Platforms, Inc."," 349,424 ",Technology Services,-61.7926677,3.2,10.9,24.6,2.9,20%,25%,80%,56%
21,109,280,CVX,CVX,Chevron Corporation," 339,008 ",Energy Minerals,53.65983497,2.1,11.3,19.8,2.3,12%,20%,21%,11%
51,481,21,LLY,LLY,Eli Lilly and Company," 323,791 ",Health Technology,39.11818739,10.6,52.5,87.9,35,12%,76%,76%,45%
442,472,45,NVDA,NVDA,NVIDIA Corporation," 310,403 ",Electronic Technology,-43.58510205,11.5,40,74.9,11.5,19%,34%,60%,40%
171,372,97,PG,PG,Procter & Gamble Company (The)," 304,696 ",Consumer Non-Durables,-8.71787591,4,22,76.1,6.7,12%,32%,47%,33%
236,459,3,MA,MA,Mastercard Incorporated," 292,203 ",Commercial Services,-14.72927242,15.6,30,49.9,39.7,27%,154%,0%,
336,220,44,HD,HD,"Home Depot, Inc. (The)"," 282,067 ",Retail Trade,-23.07928532,1.9,16.6,55.2,,23%,1464%,32%,64%
